Row ID,Order ID,Order Date,Product ID,Sales,Customer ID,Customer Name,Region,Category
1,CA-2016-152156,11/08/16,FUR-BO-10001798,261.96,CG-12520,Claire Gute,South,Furniture
2,CA-2016-152156,11/08/16,FUR-CH-10000454,731.94,CG-12520,Claire Gute,South,Furniture
3,CA-2016-138688,06/12/16,OFF-LA-10000240,14.62,DV-13045,Darrin Van Huff,West,Office Supplies
4,US-2015-108966,10/11/15,FUR-TA-10000577,957.5775,SO-20335,Sean O'Donnell,South,Furniture
5,US-2015-108966,10/11/15,OFF-ST-10000760,22.368,SO-20335,Sean O'Donnell,South,Office Supplies
6,CA-2014-115812,06/09/14,FUR-FU-10001487,48.86,BH-11710,Brosina Hoffman,West,Furniture
7,CA-2014-115812,06/09/14,OFF-AR-10002833,7.28,BH-11710,Brosina Hoffman,West,Office Supplies
8,CA-2014-115812,06/09/14,TEC-PH-10002275,907.152,BH-11710,Brosina Hoffman,West,Technology
9,CA-2014-115812,06/09/14,OFF-BI-10003910,18.504,BH-11710,Brosina Hoffman,West,Office Supplies
10,CA-2014-115812,06/09/14,OFF-AP-10002892,114.9,BH-11710,Brosina Hoffman,West,Office Supplies
11,CA-2014-115812,06/09/14,FUR-TA-10001539,1706.184,BH-11710,Brosina Hoffman,West,Furniture
12,CA-2014-115812,06/09/14,TEC-PH-10002033,911.424,BH-11710,Brosina Hoffman,West,Technology
13,CA-2017-114412,04/15/17,OFF-PA-10002365,15.552,AA-10480,Andrew Allen,South,Office Supplies
14,CA-2016-161389,12/05/16,OFF-BI-10003656,407.976,IM-15070,Irene Maddox,West,Office Supplies
15,US-2015-118983,11/22/15,OFF-AP-10002311,68.81,HP-14815,Harold Pawlan,Central,Office Supplies
16,US-2015-118983,11/22/15,OFF-BI-10000756,2.544,HP-14815,Harold Pawlan,Central,Office Supplies
17,CA-2014-105893,11/11/14,OFF-ST-10004186,665.88,PK-19075,Pete Kriz,Central,Office Supplies
18,CA-2014-167164,05/13/14,OFF-ST-10000107,55.5,AG-10270,Alejandro Grove,West,Office Supplies
19,CA-2014-143336,08/27/14,OFF-AR-10003056,8.56,ZD-21925,Zuschuss Donatelli,West,Office Supplies
20,CA-2014-143336,08/27/14,TEC-PH-10001949,213.48,ZD-21925,Zuschuss Donatelli,West,Technology
21,CA-2014-143336,08/27/14,OFF-BI-10002215,22.72,ZD-21925,Zuschuss Donatelli,West,Office Supplies
